Annual Categorical Inflation,Jan-2021,Feb-2021,Mar-2021,Apr-2021,May-2021,Jun-2021,Jul-2021,Aug-2021,Sep-2021,Oct-2021,Nov-2021,Dec-2021,Jan-2022,Feb-2022,Mar-2022,Apr-2022,May-2022,Jun-2022,Jul-2022,Aug-2022,Sep-2022,Oct-2022,Nov-2022,Dec-2022,Jan-2023,Feb-2023,Mar-2023,Apr-2023,May-2023,Jun-2023,Jul-2023,Aug-2023,Sep-2023,Oct-2023,Nov-2023,Dec-2023,Jan-2024,Feb-2024,Mar-2024,Apr-2024,May-2024,Jun-2024,Jul-2024,Aug-2024,Sep-2024,Oct-2024,Nov-2024,Dec-2024,Jan-2025,Feb-2025,Mar-2025,Apr-2025,May-2025,Jun-2025,Jul-2025,Aug-2025,Sep-2025,Oct-2025,Nov-2025,Dec-2025,Jan-2026,Feb-2026
Food & Beverages,4.60%,4.60%,4.50%,4.60%,4.90%,7.10%,12.00%,12.20%,11.90%,14.70%,14.80%,14.80%,14.70%,15.00%,28.00%,30.10%,30.10%,28.80%,22.90%,25.70%,20.40%,27.50%,29.90%,37.20%,48.00%,61.80%,62.90%,54.70%,60.00%,65.90%,68.40%,71.40%,73.60%,71.30%,64.50%,60.50%,47.90%,50.90%,45.00%,40.50%,31.00%,31.90%,29.70%,29.00%,27.70%,26.90%,24.60%,20.30%,20.80%,3.70%,6.60%,6.00%,11.00%,6.90%,3.40%,2.10%,1.40%,1.50%,0.70%,1.50%,1.20%,4.60%
Education,20.00%,20.00%,20.00%,20.00%,20.00%,20.00%,20.00%,20.00%,20.00%,12.70%,12.70%,12.70%,12.70%,12.70%,12.70%,12.70%,12.70%,12.70%,12.70%,12.70%,12.70%,11.30%,11.30%,11.30%,11.30%,11.30%,11.30%,11.30%,11.30%,11.30%,11.30%,11.30%,11.30%,0.00%,0.00%,0.00%,0.00%,18.40%,18.40%,18.40%,18.40%,18.40%,18.40%,18.40%,18.40%,18.40%,18.40%,18.40%,18.40%,11.20%,11.20%,11.20%,11.20%,11.20%,11.20%,11.20%,11.20%,11.20%,11.20%,11.20%,11.20%,18.70%
Communications,2.50%,2.30%,-0.20%,-0.20%,0.10%,0.00%,0.10%,0.10%,0.10%,0.10%,0.70%,0.70%,0.60%,0.80%,0.90%,0.90%,0.70%,0.70%,0.80%,0.80%,1.00%,1.00%,0.60%,0.70%,0.80%,1.20%,1.30%,1.30%,1.40%,1.60%,1.60%,1.70%,1.60%,1.60%,1.90%,1.90%,13.70%,13.80%,13.90%,14.00%,13.90%,13.60%,13.70%,13.50%,13.80%,12.60%,13.60%,26.30%,13.00%,12.50%,12.40%,12.30%,12.20%,12.20%,12.10%,12.10%,12.00%,11.90%,11.70%,0.40%,0.40%,0.40%
Furniture & Household Equipment,4.30%,4.30%,4.30%,2.90%,2.50%,2.90%,3.40%,3.30%,3.00%,2.10%,2.10%,2.50%,3.30%,4.00%,5.30%,7.80%,10.00%,11.70%,13.30%,15.50%,19.10%,21.00%,23.30%,26.50%,30.20%,34.60%,38.30%,37.40%,38.90%,40.60%,40.30%,40.60%,38.10%,38.90%,38.10%,36.70%,34.10%,34.90%,31.30%,31.10%,29.90%,26.10%,26.00%,24.50%,24.50%,24.00%,23.40%,21.90%,21.60%,16.60%,15.60%,15.20%,13.80%,13.80%,12.90%,13.40%,12.90%,12.40%,12.40%,12.60%,10.80%,10.80%
Housing & Utilities ,4.30%,4.70%,4.40%,3.90%,4.50%,3.80%,4.10%,4.00%,3.40%,3.10%,3.70%,4.20%,4.70%,4.30%,4.60%,5.60%,7.40%,7.60%,5.20%,5.60%,6.20%,6.40%,6.50%,6.50%,6.60%,7.80%,8.30%,8.00%,6.30%,6.60%,6.80%,7.10%,7.10%,7.20%,7.00%,6.70%,9.50%,9.90%,9.70%,10.20%,9.90%,9.90%,9.80%,9.60%,14.00%,20.30%,16.50%,17.10%,14.20%,12.90%,13.00%,13.90%,14.40%,15.60%,15.90%,16.20%,18.20%,27.10%,27.90%,29.20%,29.80%,31.70%
Miscellaneous Goods & Services,1.40%,2.60%,2.40%,3.10%,4.00%,1.80%,2.50%,2.80%,1.80%,0.60%,1.20%,2.70%,3.40%,4.30%,4.50%,7.20%,7.50%,9.00%,9.90%,11.20%,13.30%,15.40%,16.80%,18.70%,22.90%,26.00%,29.00%,28.10%,28.10%,28.10%,28.70%,28.60%,26.80%,27.10%,26.30%,26.00%,23.50%,25.10%,21.60%,22.30%,21.80%,21.10%,20.60%,21.70%,21.50%,20.40%,21.80%,20.40%,19.80%,15.50%,15.00%,14.50%,14.40%,13.70%,13.60%,12.00%,11.90%,11.00%,11.30%,11.30%,10.40%,10.90%
Alcoholic Beverages & Tobacco ,11.30%,13.60%,7.10%,6.00%,5.70%,2.30%,2.90%,3.10%,3.40%,3.30%,3.20%,3.30%,3.40%,1.30%,3.10%,3.60%,4.50%,5.00%,7.40%,10.10%,13.60%,14.00%,14.20%,14.60%,14.50%,14.70%,13.00%,19.90%,24.60%,47.30%,52.30%,57.10%,55.10%,54.90%,79.10%,80.80%,78.60%,93.50%,93.40%,95.60%,86.90%,57.70%,47.90%,39.90%,37.70%,35.10%,27.90%,26.40%,28.50%,25.40%,25.00%,15.90%,16.00%,15.80%,24.00%,24.40%,25.40%,26.00%,17.70%,17.90%,18.70%,15.70%
Recreation & Culture ,-0.50%,-0.50%,1.00%,-0.30%,1.70%,3.40%,4.80%,6.60%,10.60%,11.60%,8.10%,8.40%,12.40%,17.60%,19.80%,26.00%,24.80%,22.30%,22.40%,23.10%,21.70%,23.80%,29.00%,24.90%,27.50%,37.40%,25.00%,23.20%,25.30%,26.40%,29.20%,26.30%,34.10%,20.10%,19.20%,23.60%,21.60%,43.80%,44.80%,44.50%,56.60%,54.50%,45.30%,47.00%,46.50%,48.20%,46.80%,46.50%,46.20%,22.00%,19.70%,20.80%,17.10%,17.10%,22.20%,17.30%,15.80%,15.30%,14.60%,14.90%,14.80%,15.10%
Hotels & Restaurants,6.70%,5.60%,5.20%,5.00%,5.00%,4.60%,1.80%,1.80%,2.20%,2.10%,2.60%,3.00%,3.30%,4.20%,10.80%,13.00%,15.90%,17.60%,18.90%,21.00%,25.10%,28.40%,30.90%,33.20%,42.20%,50.20%,46.10%,46.80%,46.70%,47.00%,48.80%,46.60%,43.00%,42.40%,39.60%,40.60%,32.80%,40.30%,39.70%,38.60%,35.70%,34.70%,34.00%,35.90%,36.00%,30.80%,33.80%,32.10%,31.60%,17.60%,15.00%,16.90%,17.90%,17.30%,15.20%,13.80%,13.30%,12.50%,13.40%,12.80%,11.90%,11.90%
Clothes & Footwear,7.70%,7.70%,7.20%,7.50%,7.60%,6.90%,7.50%,7.60%,7.00%,2.30%,2.70%,3.60%,3.70%,4.10%,5.60%,7.40%,9.00%,10.60%,10.20%,11.30%,14.00%,15.00%,15.10%,16.50%,18.20%,20.10%,21.30%,20.20%,21.10%,21.00%,20.60%,20.10%,20.70%,17.80%,18.60%,19.00%,18.30%,20.10%,20.50%,25.70%,24.50%,26.40%,27.20%,26.80%,25.60%,24.40%,26.40%,25.80%,26.10%,22.70%,23.00%,17.40%,18.00%,16.00%,14.90%,14.80%,14.90%,15.70%,14.90%,14.90%,14.10%,14.20%
